Сгенерированная капча: 25079, Введено: 25079, Результат: Правильно, Время: 4.35 сек.
Сгенерированная капча: 21073, Введено: 21073, Результат: Правильно, Время: 2.33 сек.
Сгенерированная капча: 47950, Введено: 47950, Результат: Правильно, Время: 3.52 сек.
Сгенерированная капча: 37382, Введено: 37382, Результат: Правильно, Время: 19.44 сек.
Сгенерированная капча: 21588, Введено: 21588, Результат: Правильно, Время: 1.98 сек.
Сгенерированная капча: 91170, Введено: 9117, Результат: Неверно, Время: 1.61 сек.
Сгенерированная капча: 25200, Введено: 25200, Результат: Правильно, Время: 2.24 сек.
Сгенерированная капча: 12079, Введено: 12079, Результат: Правильно, Время: 2.33 сек.
Сгенерированная капча: 65744, Введено: 65744, Результат: Правильно, Время: 2.26 сек.
Сгенерированная капча: 53032, Введено: 53032, Результат: Правильно, Время: 2.02 сек.
Сгенерированная капча: 37442, Введено: 37442, Результат: Правильно, Время: 2.58 сек.
Сгенерированная капча: 81732, Введено: 81732, Результат: Правильно, Время: 1.97 сек.
Сгенерированная капча: 39203, Введено: 39203, Результат: Правильно, Время: 2.07 сек.
Сгенерированная капча: 02073, Введено: 02073, Результат: Правильно, Время: 2.25 сек.
Сгенерированная капча: 38662, Введено: 38662, Результат: Правильно, Время: 3.71 сек.
Сгенерированная капча: 37397, Введено: 37397, Результат: Правильно, Время: 2.43 сек.
Сгенерированная капча: 67430, Введено: 67430, Результат: Правильно, Время: 2.60 сек.
Сгенерированная капча: 05342, Введено: 05342, Результат: Правильно, Время: 2.72 сек.
Сгенерированная капча: 86302, Введено: 86302, Результат: Правильно, Время: 2.43 сек.
Сгенерированная капча: 45990, Введено: 45990, Результат: Правильно, Время: 3.92 сек.
Сгенерированная капча: 79128, Введено: 79128, Результат: Правильно, Время: 3.29 сек.
Сгенерированная капча: 60281, Введено: 60281, Результат: Правильно, Время: 4.12 сек.
Сгенерированная капча: 03304, Введено: 03304, Результат: Правильно, Время: 2.00 сек.
Сгенерированная капча: 42092, Введено: 42092, Результат: Правильно, Время: 2.43 сек.
Сгенерированная капча: 12463, Введено: 12463, Результат: Правильно, Время: 2.10 сек.
Сгенерированная капча: 15406, Введено: 15406, Результат: Правильно, Время: 2.47 сек.
Сгенерированная капча: 84348, Введено: 84348, Результат: Правильно, Время: 3.14 сек.
Сгенерированная капча: 06408, Введено: 06408, Результат: Правильно, Время: 3.54 сек.
Сгенерированная капча: 39673, Введено: 39673, Результат: Правильно, Время: 2.74 сек.
Сгенерированная капча: 97240, Введено: 97240, Результат: Правильно, Время: 3.33 сек.
Сгенерированная капча: 26883, Введено: 26883, Результат: Правильно, Время: 3.00 сек.
Сгенерированная капча: 25789, Введено: 25798, Результат: Неверно, Время: 3.46 сек.
Сгенерированная капча: 22852, Введено: 22853, Результат: Неверно, Время: 2.28 сек.
Сгенерированная капча: 71941, Введено: 71941, Результат: Правильно, Время: 3.21 сек.
Сгенерированная капча: 72272, Введено: 72272, Результат: Правильно, Время: 2.22 сек.
Сгенерированная капча: 31667, Введено: 31667, Результат: Правильно, Время: 6.87 сек.
Сгенерированная капча: 77482, Введено: 77482, Результат: Правильно, Время: 2.49 сек.
Сгенерированная капча: 41638, Введено: 41638, Результат: Правильно, Время: 3.02 сек.
Сгенерированная капча: 60207, Введено: 60207, Результат: Правильно, Время: 4.13 сек.
Сгенерированная капча: 16131, Введено: 16131, Результат: Правильно, Время: 2.37 сек.
Сгенерированная капча: 62592, Введено: 62592, Результат: Правильно, Время: 2.90 сек.
Сгенерированная капча: 35909, Введено: 35909, Результат: Правильно, Время: 3.43 сек.
Сгенерированная капча: 47236, Введено: 47236, Результат: Правильно, Время: 2.72 сек.
Сгенерированная капча: 99946, Введено: 99946, Результат: Правильно, Время: 2.63 сек.
Сгенерированная капча: 20874, Введено: 20874, Результат: Правильно, Время: 3.18 сек.
Сгенерированная капча: 51789, Введено: 51789\, Результат: Неверно, Время: 4.49 сек.
Сгенерированная капча: 24486, Введено: 24486, Результат: Правильно, Время: 2.86 сек.
